,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15
39,0.07,4.00,2.50,0.17,0.00,2.00,0.00,3.00,8.00,0.00,1996.00,98056.00,47.53,-122.18,0.38,11884.00
40,0.07,4.00,2.50,0.17,0.00,2.00,0.00,3.00,9.00,0.00,2000.00,98074.00,47.61,-122.03,0.36,5669.00
41,0.09,4.00,2.25,0.29,0.01,1.00,0.00,3.00,8.00,1620.00,1984.00,98166.00,47.45,-122.35,0.35,30617.00
42,0.10,5.00,2.75,0.24,0.00,2.00,0.00,3.00,9.00,0.00,2014.00,98053.00,47.68,-122.02,0.56,5639.00
43,0.08,3.00,1.00,0.09,0.00,2.00,0.00,3.00,7.00,0.00,1922.00,98119.00,47.64,-122.36,0.20,2640.00
44,0.03,3.00,1.00,0.07,0.01,1.00,0.00,4.00,6.00,360.00,1959.00,98058.00,47.45,-122.18,0.16,8808.00
45,0.05,3.00,2.50,0.21,0.01,2.00,0.00,3.00,8.00,0.00,2003.00,98019.00,47.74,-121.98,0.46,9232.00
46,0.02,3.00,1.00,0.05,0.00,1.00,0.00,3.00,6.00,0.00,1966.00,98023.00,47.31,-122.37,0.14,8840.00
47,0.09,4.00,2.50,0.15,0.01,2.00,0.00,4.00,9.00,0.00,1981.00,98007.00,47.62,-122.15,0.39,13685.00
48,0.05,3.00,1.75,0.07,0.00,1.00,0.00,4.00,7.00,0.00,1953.00,98115.00,47.68,-122.30,0.10,5100.00
49,0.17,3.00,2.50,0.18,0.04,1.00,2.00,5.00,9.00,588.00,1953.00,98070.00,47.40,-122.45,0.39,72513.00
50,0.02,3.00,1.00,0.06,0.01,1.00,0.00,3.00,7.00,0.00,1955.00,98148.00,47.43,-122.32,0.14,9364.00
51,0.04,5.00,2.50,0.21,0.01,1.00,0.00,4.00,8.00,1510.00,1966.00,98056.00,47.49,-122.19,0.27,9133.00
52,0.07,3.00,1.75,0.08,0.00,1.00,0.00,4.00,7.00,410.00,1950.00,98117.00,47.68,-122.38,0.17,4080.00
53,0.07,2.00,1.75,0.12,0.00,1.00,0.00,3.00,7.00,990.00,1981.00,98117.00,47.70,-122.37,0.19,6738.00
54,0.11,5.00,2.25,0.18,0.00,1.50,0.00,3.00,8.00,600.00,1927.00,98105.00,47.66,-122.28,0.40,6000.00
55,0.11,4.00,2.50,0.19,0.00,2.00,0.00,3.00,9.00,0.00,1995.00,98105.00,47.66,-122.29,0.27,5000.00
56,0.03,4.00,2.50,0.14,0.00,2.00,0.00,3.00,7.00,0.00,2008.00,98042.00,47.37,-122.11,0.32,4500.00
57,0.03,3.00,2.50,0.16,0.00,2.00,0.00,3.00,8.00,0.00,2003.00,98042.00,47.37,-122.12,0.39,4750.00
58,0.11,5.00,3.25,0.22,0.01,2.00,4.00,4.00,8.00,0.00,1968.00,98008.00,47.59,-122.12,0.44,11044.00
59,0.05,4.00,3.00,0.11,0.01,2.00,0.00,3.00,8.00,0.00,1991.00,98059.00,47.51,-122.15,0.32,8542.00
60,0.08,3.00,2.25,0.14,0.01,1.00,3.00,4.00,8.00,560.00,1959.00,98166.00,47.43,-122.34,0.37,18900.00
61,0.03,3.00,1.75,0.07,0.00,1.00,0.00,3.00,7.00,0.00,1954.00,98148.00,47.44,-122.34,0.15,8750.00
62,0.06,3.00,1.75,0.16,0.00,2.00,0.00,5.00,8.00,0.00,1973.00,98166.00,47.44,-122.34,0.36,9500.00
63,0.06,3.00,1.75,0.09,0.00,3.00,0.00,3.00,8.00,0.00,2014.00,98115.00,47.68,-122.32,0.20,3090.00
64,0.05,3.00,2.25,0.10,0.00,1.00,0.00,3.00,7.00,550.00,1979.00,98122.00,47.61,-122.30,0.18,4080.00
65,0.03,3.00,2.75,0.18,0.00,1.50,0.00,5.00,7.00,1000.00,1925.00,98144.00,47.57,-122.30,0.18,4000.00
66,0.12,4.00,2.50,0.18,0.01,2.00,0.00,3.00,10.00,0.00,1989.00,98004.00,47.58,-122.19,0.40,11049.00
67,0.03,4.00,2.50,0.14,0.00,2.00,0.00,3.00,7.00,0.00,2005.00,98001.00,47.34,-122.26,0.31,4557.00
68,0.02,3.00,1.00,0.05,0.01,1.00,0.00,4.00,7.00,0.00,1968.00,98042.00,47.36,-122.11,0.11,12635.00
69,0.16,5.00,2.25,0.21,0.01,1.00,0.00,3.00,8.00,1600.00,1965.00,98004.00,47.63,-122.22,0.51,20158.00
70,0.13,5.00,3.25,0.33,0.03,1.00,0.00,4.00,11.00,1700.00,1973.00,98005.00,47.65,-122.16,0.54,38917.00
71,0.03,3.00,2.00,0.07,0.00,1.00,0.00,4.00,7.00,0.00,1972.00,98034.00,47.74,-122.18,0.21,4745.00
72,0.06,4.00,2.00,0.18,0.00,1.50,0.00,5.00,7.00,500.00,1916.00,98125.00,47.72,-122.29,0.19,7807.00
73,0.04,4.00,2.50,0.15,0.00,2.00,0.00,3.00,8.00,0.00,2005.00,98038.00,47.36,-122.04,0.35,5000.00
74,0.04,3.00,1.75,0.11,0.03,1.00,0.00,5.00,7.00,700.00,1965.00,98042.00,47.35,-122.07,0.27,50529.00
75,0.10,4.00,4.00,0.23,0.02,2.00,0.00,4.00,10.00,1040.00,1986.00,98075.00,47.58,-121.99,0.49,35020.00
76,0.04,4.00,1.75,0.11,0.00,1.00,0.00,3.00,7.00,880.00,1956.00,98008.00,47.60,-122.13,0.22,7500.00
77,0.05,3.00,1.00,0.05,0.00,1.00,0.00,3.00,7.00,0.00,1941.00,98116.00,47.56,-122.39,0.08,5060.00
78,0.04,3.00,1.00,0.08,0.00,1.00,0.00,4.00,7.00,500.00,1956.00,98133.00,47.71,-122.34,0.13,5693.00
79,0.08,4.00,2.50,0.23,0.02,2.00,0.00,3.00,10.00,0.00,2002.00,98010.00,47.34,-122.03,0.51,39750.00
80,0.04,3.00,2.50,0.15,0.00,2.00,0.00,3.00,8.00,0.00,2003.00,98038.00,47.35,-122.01,0.34,5363.00
81,0.04,4.00,2.50,0.12,0.00,2.00,0.00,3.00,7.00,0.00,1992.00,98038.00,47.35,-122.03,0.25,6405.00
82,0.04,2.00,1.00,0.13,0.00,1.00,0.00,3.00,7.00,1010.00,1948.00,98118.00,47.55,-122.29,0.23,6720.00
83,0.04,3.00,1.50,0.10,0.00,1.00,0.00,3.00,8.00,0.00,1964.00,98059.00,47.48,-122.15,0.25,8797.00
84,0.03,3.00,1.00,0.04,0.00,1.00,0.00,3.00,6.00,0.00,1952.00,98125.00,47.73,-122.31,0.20,7203.00
85,0.11,3.00,1.50,0.13,0.00,2.00,0.00,3.00,9.00,240.00,1925.00,98119.00,47.63,-122.37,0.28,4800.00
86,0.03,5.00,2.25,0.17,0.00,1.50,0.00,5.00,7.00,0.00,1961.00,98092.00,47.29,-122.19,0.20,8165.00
87,0.05,3.00,3.25,0.18,0.00,2.00,0.00,3.00,9.00,790.00,2006.00,98056.00,47.52,-122.20,0.26,7349.00
88,0.02,2.00,2.25,0.09,0.00,2.00,0.00,4.00,7.00,0.00,1979.00,98056.00,47.52,-122.19,0.27,2025.00
89,0.03,2.00,1.75,0.05,0.00,2.00,0.00,3.00,7.00,265.00,2006.00,98136.00,47.54,-122.39,0.11,1106.00
90,0.02,4.00,2.50,0.12,0.00,2.00,0.00,3.00,7.00,0.00,1988.00,98023.00,47.29,-122.37,0.27,7510.00
91,0.13,5.00,2.75,0.24,0.00,2.00,0.00,4.00,10.00,0.00,2001.00,98199.00,47.65,-122.39,0.36,6250.00
92,0.01,3.00,1.00,0.06,0.01,1.00,0.00,3.00,7.00,0.00,1962.00,98023.00,47.32,-122.35,0.16,10500.00
93,0.05,3.00,1.50,0.09,0.00,1.00,0.00,3.00,8.00,290.00,1939.00,98117.00,47.69,-122.39,0.20,4500.00
94,0.08,3.00,1.50,0.09,0.00,1.00,0.00,3.00,8.00,290.00,1939.00,98117.00,47.69,-122.39,0.20,4500.00
95,0.11,4.00,2.50,0.22,0.01,1.00,0.00,3.00,7.00,910.00,1946.00,98040.00,47.59,-122.25,0.27,6045.00
96,0.02,3.00,1.75,0.12,0.01,1.00,0.00,3.00,7.00,0.00,1967.00,98032.00,47.36,-122.28,0.23,15616.00
97,0.02,4.00,1.50,0.06,0.00,1.00,0.00,4.00,7.00,0.00,1975.00,98023.00,47.30,-122.38,0.13,6400.00
98,0.03,3.00,1.75,0.11,0.03,1.00,0.00,5.00,7.00,600.00,1980.00,98038.00,47.41,-121.96,0.22,135036.00
99,0.05,3.00,2.50,0.15,0.02,2.00,2.00,3.00,9.00,0.00,1992.00,98045.00,47.48,-121.71,0.37,35065.00
100,0.10,3.00,2.50,0.13,0.01,1.50,0.00,5.00,9.00,800.00,1910.00,98102.00,47.64,-122.32,0.31,4500.00
101,0.06,3.00,2.00,0.12,0.00,1.50,0.00,4.00,7.00,540.00,1929.00,98117.00,47.68,-122.37,0.21,3478.00
102,0.08,3.00,2.25,0.14,0.06,2.00,0.00,4.00,8.00,0.00,1983.00,98077.00,47.77,-122.08,0.37,47777.00
103,0.13,3.00,2.50,0.19,0.00,2.00,0.00,3.00,8.00,0.00,1950.00,98004.00,47.58,-122.20,0.34,8113.00
104,0.03,3.00,1.00,0.06,0.02,1.00,0.00,3.00,7.00,0.00,1954.00,98058.00,47.44,-122.18,0.21,14910.00
105,0.04,3.00,2.50,0.15,0.01,1.00,0.00,4.00,8.00,880.00,1978.00,98058.00,47.44,-122.13,0.32,8162.00
106,0.05,3.00,1.00,0.10,0.00,1.50,0.00,4.00,7.00,500.00,1939.00,98117.00,47.69,-122.38,0.14,4005.00
107,0.01,2.00,1.75,0.07,0.00,1.00,0.00,4.00,8.00,0.00,1985.00,98198.00,47.38,-122.32,0.15,4966.00
108,0.08,4.00,2.50,0.21,0.02,2.00,0.00,4.00,10.00,0.00,1991.00,98077.00,47.73,-122.08,0.45,35001.00
109,0.05,5.00,1.75,0.13,0.01,2.00,0.00,4.00,7.00,0.00,1942.00,98052.00,47.64,-122.11,0.36,9433.00
110,0.07,4.00,2.50,0.15,0.01,2.00,0.00,3.00,8.00,0.00,1984.00,98027.00,47.54,-122.05,0.27,9636.00
111,0.06,3.00,1.75,0.07,0.00,1.00,0.00,5.00,6.00,560.00,1905.00,98103.00,47.68,-122.35,0.17,3536.00
112,0.03,3.00,1.75,0.09,0.01,1.00,0.00,4.00,7.00,0.00,1980.00,98038.00,47.36,-122.03,0.20,11656.00
113,0.03,3.00,1.75,0.13,0.00,1.00,2.00,3.00,7.00,1000.00,1971.00,98108.00,47.55,-122.30,0.29,5500.00
114,0.05,4.00,2.50,0.22,0.01,2.00,,3.00,9.00,710.00,2001.00,98001.00,47.32,-122.25,0.39,8517.00
115,0.09,3.00,3.50,0.30,0.00,2.00,0.00,3.00,8.00,0.00,1900.00,98117.00,47.70,-122.37,0.25,6350.00
116,0.06,3.00,3.50,0.09,0.00,3.00,0.00,3.00,8.00,0.00,2010.00,98103.00,47.68,-122.35,0.21,3166.00
117,0.02,2.00,1.00,0.04,0.00,1.00,0.00,4.00,6.00,0.00,1945.00,98178.00,47.50,-122.25,0.14,6780.00
118,0.01,4.00,2.00,0.09,0.01,1.00,0.00,3.00,6.00,0.00,1950.00,98168.00,47.50,-122.30,0.25,9000.00
119,0.06,4.00,1.00,0.09,0.00,1.50,0.00,4.00,7.00,0.00,1925.00,98144.00,47.59,-122.29,0.21,4040.00
120,0.08,3.00,2.50,0.15,0.00,1.00,2.00,3.00,8.00,840.00,1964.00,98177.00,47.77,-122.39,0.33,10856.00
121,0.04,3.00,2.00,0.08,0.01,1.00,0.00,3.00,7.00,0.00,1987.00,98034.00,47.73,-122.23,0.20,9104.00
122,0.04,2.00,1.00,0.03,0.00,1.00,0.00,3.00,6.00,0.00,1953.00,98117.00,47.70,-122.36,0.23,6000.00
123,0.05,4.00,1.75,0.13,0.00,1.50,0.00,5.00,7.00,380.00,1924.00,98118.00,47.53,-122.27,0.25,4400.00
124,0.09,3.00,2.25,0.19,0.01,2.00,0.00,3.00,9.00,0.00,1990.00,98052.00,47.69,-122.10,0.40,13992.00
125,0.18,4.00,2.75,0.18,0.01,1.50,0.00,3.00,8.00,770.00,1914.00,98004.00,47.61,-122.21,0.46,11275.00
126,0.05,3.00,2.25,0.13,0.00,1.00,2.00,3.00,8.00,480.00,1967.00,98178.00,47.51,-122.24,0.39,8712.00
127,0.02,4.00,2.25,0.14,0.01,1.00,0.00,3.00,8.00,800.00,1978.00,98023.00,47.31,-122.39,0.29,8400.00
128,0.10,5.00,3.50,0.15,0.00,2.00,0.00,5.00,7.00,600.00,1926.00,98103.00,47.68,-122.35,0.22,4960.00
129,0.05,4.00,2.50,0.13,0.00,2.00,0.00,3.00,7.00,0.00,2004.00,98065.00,47.53,-121.85,0.27,3748.00
130,0.02,3.00,1.75,0.05,0.00,1.00,0.00,4.00,7.00,0.00,1986.00,98092.00,47.28,-122.15,0.18,7680.00
131,0.08,4.00,2.25,0.12,0.01,1.00,0.00,3.00,8.00,570.00,1986.00,98027.00,47.53,-122.05,0.29,9793.00
132,0.09,3.00,3.50,0.27,0.07,1.50,0.00,3.00,9.00,1490.00,1989.00,98052.00,47.70,-122.07,0.36,88500.00
133,0.05,3.00,2.50,0.12,0.00,2.00,0.00,3.00,8.00,620.00,2014.00,98029.00,47.55,-122.00,0.22,1662.00
134,0.08,4.00,3.50,0.13,0.00,3.00,0.00,3.00,9.00,0.00,2005.00,98107.00,47.67,-122.38,0.20,2285.00
135,0.02,3.00,1.75,0.07,0.01,1.00,0.00,4.00,7.00,0.00,1956.00,98003.00,47.33,-122.30,0.20,19265.00
136,0.02,4.00,1.75,0.13,0.00,1.00,0.00,3.00,7.00,1010.00,1968.00,98003.00,47.33,-122.30,0.23,8140.00
137,0.05,4.00,2.25,0.17,0.01,1.00,0.00,4.00,8.00,1250.00,1968.00,98028.00,47.77,-122.27,0.20,10436.00
138,0.04,2.00,1.00,0.06,0.00,1.00,0.00,3.00,6.00,0.00,1981.00,98125.00,47.71,-122.29,0.11,5715.00
139,0.06,3.00,2.25,0.06,0.00,3.00,0.00,3.00,8.00,0.00,2014.00,98107.00,47.67,-122.38,0.16,1310.00
140,0.08,2.00,1.00,0.06,0.00,1.00,0.00,3.00,7.00,0.00,1925.00,98119.00,47.63,-122.36,0.13,3600.00
141,0.06,5.00,2.50,0.19,0.01,1.00,0.00,4.00,8.00,1270.00,1968.00,98006.00,47.57,-122.13,0.42,9375.00
142,0.02,3.00,1.00,0.09,0.00,1.00,0.00,4.00,7.00,600.00,1962.00,98058.00,47.46,-122.17,0.21,8579.00
143,0.04,3.00,1.00,0.05,0.00,1.00,0.00,4.00,7.00,120.00,1923.00,98133.00,47.71,-122.35,0.20,7940.00
144,0.06,4.00,2.25,0.13,0.00,1.00,0.00,4.00,8.00,650.00,1961.00,98006.00,47.55,-122.17,0.32,8824.00
145,0.11,4.00,2.50,0.25,0.19,2.00,0.00,4.00,9.00,0.00,1994.00,98077.00,47.74,-122.03,0.42,87991.00
146,0.11,4.00,1.00,0.17,0.00,2.00,0.00,3.00,8.00,180.00,1905.00,98109.00,47.64,-122.35,0.31,4000.00
147,0.05,2.00,2.50,0.16,0.04,2.00,0.00,3.00,7.00,0.00,2007.00,98027.00,47.53,-121.94,0.27,193842.00
148,0.02,5.00,2.00,0.14,0.01,1.00,0.00,4.00,8.00,1130.00,1960.00,98032.00,47.39,-122.29,0.17,18000.00
149,0.06,3.00,1.00,0.08,0.00,1.00,0.00,3.00,7.00,450.00,1947.00,98103.00,47.69,-122.34,0.18,4599.00
150,0.06,3.00,2.00,0.08,0.00,2.00,0.00,3.00,8.00,0.00,1990.00,98103.00,47.68,-122.35,0.19,3090.00
151,0.06,3.00,1.00,0.06,0.00,1.50,0.00,3.00,7.00,0.00,1947.00,98107.00,47.66,-122.36,0.18,5000.00
152,0.03,3.00,1.00,0.07,0.00,1.00,0.00,4.00,7.00,0.00,1954.00,98003.00,47.33,-122.30,0.22,8633.00
153,0.28,4.00,3.25,0.37,0.01,2.00,3.00,3.00,12.00,1640.00,2006.00,98006.00,47.56,-122.16,0.48,9750.00
154,0.04,1.00,1.00,0.03,0.00,1.00,0.00,3.00,7.00,0.00,1942.00,98115.00,47.68,-122.30,0.11,5100.00
155,0.02,3.00,1.00,0.06,0.00,1.00,0.00,4.00,7.00,0.00,1967.00,98058.00,47.45,-122.18,0.14,7669.00
156,0.08,5.00,3.50,0.27,0.01,2.00,0.00,3.00,9.00,1460.00,1996.00,98056.00,47.53,-122.17,0.39,13675.00
157,0.03,4.00,2.75,0.17,0.00,1.00,0.00,3.00,8.00,1020.00,1967.00,98023.00,47.31,-122.37,0.27,7875.00
158,0.02,3.00,2.00,0.07,0.00,1.50,0.00,3.00,7.00,0.00,1916.00,98022.00,47.21,-122.00,0.13,7198.00
159,0.03,4.00,1.75,0.11,0.01,1.00,0.00,4.00,8.00,0.00,1968.00,98059.00,47.47,-122.12,0.23,11180.00
160,0.02,5.00,2.25,0.13,0.00,1.00,0.00,3.00,7.00,1030.00,1962.00,98146.00,47.49,-122.34,0.11,11680.00
161,0.05,3.00,1.75,0.11,0.01,1.00,0.00,3.00,7.00,0.00,1962.00,98034.00,47.72,-122.19,0.14,9660.00
162,0.11,3.00,2.50,0.23,0.01,2.00,0.00,3.00,10.00,0.00,2000.00,98075.00,47.60,-122.02,0.52,12601.00
163,0.05,3.00,2.75,0.12,0.00,1.00,0.00,3.00,7.00,750.00,1979.00,98034.00,47.73,-122.22,0.23,8152.00
164,0.04,3.00,2.00,0.13,0.02,1.00,0.00,4.00,7.00,1010.00,1975.00,98027.00,47.46,-122.02,0.29,36590.00
165,0.04,3.00,1.75,0.09,0.00,1.00,0.00,3.00,7.00,400.00,1976.00,98034.00,47.72,-122.17,0.21,7500.00
166,0.03,2.00,1.75,0.07,0.00,1.00,0.00,5.00,5.00,640.00,1949.00,98198.00,47.41,-122.33,0.25,9750.00
167,0.10,4.00,2.50,0.18,0.00,2.00,0.00,3.00,9.00,0.00,1999.00,98006.00,47.57,-122.13,0.43,4500.00
168,0.08,3.00,2.50,0.18,0.01,1.00,0.00,4.00,8.00,1070.00,1979.00,98034.00,47.70,-122.23,0.36,8750.00
169,0.04,3.00,2.00,0.08,0.00,1.00,0.00,5.00,7.00,0.00,1964.00,98133.00,47.75,-122.33,0.24,7288.00
170,0.03,3.00,1.75,0.09,0.01,1.00,0.00,3.00,7.00,0.00,1954.00,98166.00,47.48,-122.34,0.12,7920.00
171,0.03,3.00,1.75,0.14,0.00,1.00,0.00,4.00,7.00,490.00,1978.00,98023.00,47.30,-122.37,0.26,7350.00
172,0.03,3.00,1.50,0.07,0.00,1.50,0.00,3.00,7.00,0.00,1955.00,98133.00,47.77,-122.34,0.19,7940.00
173,0.11,4.00,2.50,0.27,0.02,2.00,0.00,3.00,10.00,1310.00,1984.00,98033.00,47.65,-122.18,0.57,35230.00
174,0.08,4.00,2.25,0.17,0.00,2.00,0.00,4.00,8.00,0.00,1980.00,98006.00,47.56,-122.13,0.32,8335.00
175,0.05,3.00,2.50,0.06,0.00,2.00,0.00,3.00,8.00,300.00,2008.00,98122.00,47.61,-122.31,0.20,1795.00
176,0.04,5.00,2.75,0.12,0.00,1.00,0.00,3.00,7.00,650.00,1986.00,98144.00,47.59,-122.31,0.15,2150.00
177,0.04,3.00,1.00,0.06,0.00,1.00,0.00,3.00,6.00,0.00,1901.00,98122.00,47.61,-122.31,0.14,4800.00
178,0.03,3.00,1.50,0.12,0.00,1.00,2.00,4.00,7.00,630.00,1975.00,98022.00,47.20,-122.00,0.27,8941.00
179,0.03,2.00,1.00,0.07,0.00,1.00,0.00,3.00,7.00,290.00,1949.00,98177.00,47.72,-122.36,0.20,8280.00
180,0.02,3.00,2.50,0.10,0.00,2.00,0.00,3.00,7.00,0.00,1988.00,98030.00,47.35,-122.18,0.22,6183.00
181,0.05,4.00,3.00,0.15,0.00,1.50,0.00,4.00,7.00,700.00,1925.00,98126.00,47.54,-122.38,0.17,5375.00
182,0.07,4.00,3.00,0.16,0.01,2.00,0.00,5.00,7.00,0.00,1961.00,98034.00,47.70,-122.20,0.33,9600.00
183,0.01,2.00,1.50,0.05,0.00,2.00,0.00,3.00,7.00,0.00,1996.00,98038.00,47.38,-122.04,0.11,3417.00
184,0.10,4.00,2.75,0.21,0.01,2.00,0.00,3.00,9.00,990.00,1993.00,98052.00,47.70,-122.10,0.32,9984.00
185,0.13,5.00,3.00,0.28,0.01,1.00,2.00,4.00,10.00,2000.00,1986.00,98033.00,47.66,-122.19,0.37,10270.00
186,0.03,4.00,1.75,0.09,0.01,1.00,0.00,4.00,8.00,390.00,1969.00,98023.00,47.31,-122.38,0.31,8910.00
187,0.06,3.00,2.50,0.12,0.00,2.00,0.00,3.00,8.00,0.00,1987.00,98074.00,47.62,-122.04,0.28,8744.00
188,0.07,4.00,1.00,0.07,0.00,1.50,0.00,4.00,6.00,0.00,1901.00,98103.00,47.65,-122.34,0.16,4400.00
189,0.07,3.00,2.25,0.14,0.01,1.00,0.00,3.00,8.00,800.00,1975.00,98052.00,47.66,-122.15,0.32,9340.00
190,0.03,3.00,1.75,0.10,0.01,1.00,0.00,3.00,7.00,430.00,1977.00,98034.00,47.73,-122.19,0.20,8400.00
191,0.01,3.00,1.00,0.06,0.01,1.00,0.00,3.00,6.00,0.00,1959.00,98058.00,47.46,-122.18,0.14,7980.00
192,0.09,3.00,2.50,0.13,0.01,1.00,0.00,4.00,8.00,0.00,1959.00,98040.00,47.55,-122.22,0.39,10083.00
193,0.04,3.00,2.50,0.14,0.00,1.00,0.00,4.00,7.00,760.00,1962.00,98133.00,47.76,-122.34,0.26,7818.00
194,0.02,3.00,1.00,0.05,0.01,1.00,0.00,3.00,7.00,0.00,1948.00,98155.00,47.75,-122.30,0.20,10228.00
195,0.02,3.00,2.50,0.10,0.00,2.00,0.00,3.00,8.00,0.00,2003.00,98023.00,47.28,-122.35,0.37,5001.00
196,0.05,4.00,2.00,0.12,0.00,1.50,0.00,5.00,7.00,840.00,1920.00,98108.00,47.55,-122.31,0.19,6480.00
